Epoch,Category,Model Name,Exact,F1,HasAns_Exact,HasAns_F1,NoAns_Exact,NoAns_F1
0,target_pooler,target_pooler_epochs_00,49.8358,50.157,4.4028,5.0463,95.1388,95.1388
0,average_pooler,average_pooler_epochs_00,49.482,49.6178,1.4001,1.6722,97.4264,97.4264
0,learned_pooler,learned_pooler_epochs_00,48.783,49.3082,5.5668,6.6187,91.8755,91.8755
0,six_target_pooler,six_target_pooler_epochs_00,48.4628990145708,49.1245965720032,5.60053981106612,6.92583250664545,91.2026913372582,91.2026913372582
0,bert_large_uncased,bert_large_uncased_epochs_00,27.4741,28.3034,0,1.6609,54.8696,54.8696
0.2,target_pooler,target_pooler_epochs_20,53.9291,55.3912,19.4501,22.3785,88.3095,88.3095
0.2,six_target_pooler,six_target_pooler_epochs_20,53.5584940621578,55.116979549433,18.6909581646423,21.812398480165,88.3263246425567,88.3263246425567
0.2,learned_pooler,learned_pooler_epochs_20,53.7185,54.9628,17.4595,19.9516,89.8738,89.8738
0.2,bert_large_uncased,bert_large_uncased_20,52.5646,54.0334,16.8691,19.8108,88.1581,88.1581
0.2,average_pooler,average_pooler_epochs_20,52.5562,53.4576,13.2928,15.0982,91.7073,91.7073
0.4,target_pooler,target_pooler_epochs_40,59.9596,62.8234,37.5,43.2358,82.3549,82.3549
0.4,six_target_pooler,six_target_pooler_epochs_40,59.4205339846711,62.4965492056646,36.3866396761133,42.5474913493345,82.3885618166526,82.3885618166526
0.4,learned_pooler,learned_pooler_epochs_40,59.3953,62.0387,34.7335,40.0279,83.9865,83.9865
0.4,bert_large_uncased,bert_large_uncased_40,59.1342,61.6435,33.0466,38.0724,85.1472,85.1472
0.4,average_pooler,average_pooler_epochs_40,58.2582,60.4072,28.9811,33.2852,87.4516,87.4516
0.6,six_target_pooler,six_target_pooler_epochs_60,61.7619809652151,64.7291509241519,40.300269905533,46.2431189140444,83.1623212783851,83.1623212783851
0.6,learned_pooler,learned_pooler_epochs_60,61.6356,64.7276,39.0857,45.2785,84.1211,84.1211
0.6,target_pooler,target_pooler_epochs_60,61.7451,64.645,39.0688,44.8769,84.3566,84.3566
0.6,average_pooler,average_pooler_epochs_60,61.2314,64.1989,37.9386,43.8823,84.4575,84.4575
0.6,bert_large_uncased,bert_large_uncased_60,61.0713,63.8682,38.0061,43.6078,84.0706,84.0706
0.8,six_target_pooler,six_target_pooler_epochs_80,62.6884527920491,66.2506061540064,44.4500674763832,51.5845895523815,80.874684608915,80.874684608915
0.8,target_pooler,target_pooler_epochs_80,62.4358,65.8889,43.6066,50.5227,81.2111,81.2111
0.8,learned_pooler,learned_pooler_epochs_80,62.4274,65.7576,41.6498,48.3199,83.1455,83.1455
0.8,bert_large_uncased,bert_large_uncased_80,62.3094,65.7503,44.6694,51.561,79.8991,79.8991
0.8,average_pooler,average_pooler_epochs_80,59.8164,62.7365,34.7503,40.5989,84.8108,84.8108
1,six_target_pooler,six_target_pooler_epochs_01,66.7565063589657,70.2721342574806,53.6437246963562,60.6850624222446,79.8317914213625,79.8317914213625
1,target_pooler,target_pooler_epochs_01,66.4365,70.238,54.4028,62.0168,78.4357,78.4357
1,learned_pooler,learned_pooler_epochs_01,65.4763,69.6026,54.5715,62.836,76.3499,76.3499
1,bert_large_uncased,bert_large_uncased_epochs_01,64.4487,68.9622,57.1862,66.2262,71.6905,71.6905
1,average_pooler,average_pooler_epochs_01,63.3286,67.128,47.9082,55.518,78.7048,78.7048
2,six_target_pooler,six_target_pooler_epochs_02,72.4500968584182,76.5168099217747,61.5047233468286,69.6498117748367,83.3641715727502,83.3641715727502
2,learned_pooler,learned_pooler_epochs_02,71.6668,76.0754,63.5965,72.4262,79.714,79.714
2,target_pooler,target_pooler_epochs_02,71.3552,75.8565,64.0013,73.0169,78.688,78.688
2,bert_large_uncased,bert_large_uncased_epochs_02,71.0772,75.5761,64.4062,73.4168,77.7292,77.7292
2,average_pooler,average_pooler_epochs_02,70.8919,75.2136,59.2949,67.9505,82.4558,82.4558
3,target_pooler,target_pooler_epochs_03,72.2143,76.682,64.6086,73.5569,79.7981,79.7981
3,six_target_pooler,six_target_pooler_epochs_03,71.92790364693,76.4999794148165,65.1653171390013,74.32258022809,78.6711522287636,78.6711522287636
3,learned_pooler,learned_pooler_epochs_03,71.5826,76.2541,64.946,74.3024,78.2002,78.2002
3,average_pooler,average_pooler_epochs_03,71.3131,75.8747,61.3192,70.4555,81.2784,81.2784
3,bert_large_uncased,bert_large_uncased_epochs_03,70.7488,75.4077,67.0715,76.4028,74.4155,74.4155
4,bert_large_uncased,bert_large_uncased_epochs_04,72.4501,76.8172,64.7436,73.4902,80.1346,80.1346
4,six_target_pooler,six_target_pooler_epochs_04,72.2648024930514,76.7462637292898,64.7773279352226,73.753102101528,79.7308662741799,79.7308662741799
4,learned_pooler,learned_pooler_epochs_04,71.9616,76.6847,64.6255,74.0852,79.2767,79.2767
4,target_pooler,target_pooler_epochs_04,71.6921,76.4814,64.4568,74.0492,78.9066,78.9066
4,average_pooler,average_pooler_epochs_04,70.8582,75.7088,62.4831,72.1982,79.2094,79.2094
5,bert_large_uncased,bert_large_uncased_epochs_05,72.0037,76.6964,65.4352,74.8341,78.5534,78.5534
6,bert_large_uncased,bert_large_uncased_epochs_06,71.2036,76.0217,66.0256,75.6757,76.3667,76.3667
